seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max
0,0,1,63,"blk.0.ffn_up_exps.weight",21,0,704000,0,704000,0,1,target,26,0,prefill,0,62
1,0,1,63,"blk.0.ffn_up_exps.weight",21,2,704000,1408000,704000,0,1,target,26,0,prefill,0,62
2,0,1,63,"blk.0.ffn_up_exps.weight",21,4,704000,2816000,704000,0,1,target,26,0,prefill,0,62
3,0,1,63,"blk.0.ffn_up_exps.weight",21,7,704000,4928000,704000,0,1,target,26,0,prefill,0,62
4,0,1,63,"blk.0.ffn_up_exps.weight",21,9,704000,6336000,704000,0,1,target,26,0,prefill,0,62
5,0,1,63,"blk.0.ffn_up_exps.weight",21,10,704000,7040000,704000,0,1,target,26,0,prefill,0,62
6,0,1,63,"blk.0.ffn_up_exps.weight",21,12,704000,8448000,704000,0,1,target,26,0,prefill,0,62
7,0,1,63,"blk.0.ffn_up_exps.weight",21,15,704000,10560000,704000,0,1,target,26,0,prefill,0,62
8,0,1,63,"blk.0.ffn_up_exps.weight",21,19,704000,13376000,704000,0,1,target,26,0,prefill,0,62
9,0,1,63,"blk.0.ffn_up_exps.weight",21,21,704000,14784000,704000,0,1,target,26,0,prefill,0,62
10,0,1,63,"blk.0.ffn_up_exps.weight",21,23,704000,16192000,704000,0,1,target,26,0,prefill,0,62
11,0,1,63,"blk.0.ffn_up_exps.weight",21,24,704000,16896000,704000,0,1,target,26,0,prefill,0,62
12,0,1,63,"blk.0.ffn_up_exps.weight",21,27,704000,19008000,704000,0,1,target,26,0,prefill,0,62
13,0,1,63,"blk.0.ffn_up_exps.weight",21,30,704000,21120000,704000,0,1,target,26,0,prefill,0,62
14,0,1,63,"blk.0.ffn_up_exps.weight",21,32,704000,22528000,704000,0,1,target,26,0,prefill,0,62
15,0,1,63,"blk.0.ffn_up_exps.weight",21,34,704000,23936000,704000,0,1,target,26,0,prefill,0,62
16,0,1,63,"blk.0.ffn_up_exps.weight",21,36,704000,25344000,704000,0,1,target,26,0,prefill,0,62
17,0,1,63,"blk.0.ffn_up_exps.weight",21,37,704000,26048000,704000,0,1,target,26,0,prefill,0,62
18,0,1,63,"blk.0.ffn_up_exps.weight",21,42,704000,29568000,704000,0,1,target,26,0,prefill,0,62
19,0,1,63,"blk.0.ffn_up_exps.weight",21,43,704000,30272000,704000,0,1,target,26,0,prefill,0,62
20,0,1,63,"blk.0.ffn_up_exps.weight",21,44,704000,30976000,704000,0,1,target,26,0,prefill,0,62
21,0,1,63,"blk.0.ffn_up_exps.weight",21,46,704000,32384000,704000,0,1,target,26,0,prefill,0,62
