#Date        Time         gpu  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx   MB/s   MB/s 
 20260906    14:26:38       0     40      2 
 20260906    14:26:39       0      0      0 
 20260906    14:26:40       0      0      1 
 20260906    14:26:41       0      0      1 
 20260906    14:26:42       0      0      0 
 20260906    14:26:43       0      0      0 
 20260906    14:26:44       0      0      0 
 20260906    14:26:45       0      0      0 
 20260906    14:26:46       0      0      1 
 20260906    14:26:47       0     95      0 
 20260906    14:26:48       0      0      1 
 20260906    14:26:49       0      0      0 
 20260906    14:26:50       0      0      0 
