# cuda_transfer_trace_v1 coverage=ordinary_backend_set_get_only timing=host_API_wall_not_DMA
id,context,request_id,seq_id,phase,pos_min,pos_max,backend_api,direction,tensor,offset_bytes,size_bytes,device,host_kind,pointer_status,start_monotonic_ns,copy_api_wall_ns,sync_api_wall_ns,copy_status,sync_status
0,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#inp_embd (reshaped)#0",0,645120,0,pageable,0,862935908504518,42742,21141,0,0
1,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#inp_s_seq_qnext#0",0,252,0,pageable,0,862935908588002,3360,9540,0,0
2,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ple_embd-1#0",0,645120,0,pageable,0,862937400327861,96515,21381,0,0
3,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#qsa_win_cells#0",0,272,0,pageable,0,862937400478739,3630,3640,0,0
4,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#qsa_win_pos#0",0,272,0,pageable,0,862937400488709,1611,2930,0,0
5,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#qsa_win_blocks#0",0,68,0,pageable,0,862937400495990,1280,3040,0,0
6,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#inp_pos#0",0,1008,0,pageable,0,862937400502290,1730,3270,0,0
7,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#KQ_mask#0",0,32768,0,pageable,0,862937400508860,15371,7921,0,0
8,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-12 (reshaped)",0,645120,0,pageable,0,862937454503099,55643,430,0,0
9,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-12",0,127016,0,pageable,0,862937454569283,20361,270,0,0
10,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-12#0",0,6451200,0,pageable,0,862937530202635,375629,19411,0,0
11,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-13 (reshaped)",0,645120,0,pageable,0,862937531406095,64063,510,0,0
12,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-13",0,127016,0,pageable,0,862937531476308,17601,280,0,0
13,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-13#0",0,6451200,0,pageable,0,862937663063997,349197,20491,0,0
14,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-14 (reshaped)",0,645120,0,pageable,0,862937664240335,48092,550,0,0
15,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-14",0,127016,0,pageable,0,862937664294108,16020,270,0,0
16,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-14#0",0,6451200,0,pageable,0,862937847044984,340467,21241,0,0
17,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-15 (reshaped)",0,645120,0,pageable,0,862937848125358,51113,540,0,0
18,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-15",0,127016,0,pageable,0,862937848182041,16321,290,0,0
19,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-15#0",0,6451200,0,pageable,0,862937985064662,310795,20781,0,0
20,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-16 (reshaped)",0,645120,0,pageable,0,862937986252041,55613,660,0,0
21,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-16",0,127016,0,pageable,0,862937986315824,16071,260,0,0
22,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-16#0",0,6451200,0,pageable,0,862938321141916,475044,11290,0,0
23,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-17 (reshaped)",0,645120,0,pageable,0,862938322877142,203770,860,0,0
24,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-17",0,127016,0,pageable,0,862938323101343,29091,400,0,0
25,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-17#0",0,6451200,0,pageable,0,862938484881799,333267,22151,0,0
26,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-18 (reshaped)",0,645120,0,pageable,0,862938486026946,53723,400,0,0
27,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-18",0,127016,0,pageable,0,862938486088519,16251,260,0,0
28,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-18#0",0,6451200,0,pageable,0,862938592456747,313145,22851,0,0
29,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-19 (reshaped)",0,645120,0,pageable,0,862938593743250,78744,470,0,0
30,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-19",0,127016,0,pageable,0,862938593837445,19351,270,0,0
31,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-19#0",0,6451200,0,pageable,0,862938670614274,351318,19611,0,0
32,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-20 (reshaped)",0,645120,0,pageable,0,862938671783962,86975,530,0,0
33,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-20",0,127016,0,pageable,0,862938671890928,23391,290,0,0
34,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-20#0",0,6451200,0,pageable,0,862938714671890,302965,20571,0,0
35,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-21 (reshaped)",0,645120,0,pageable,0,862938715794476,53932,600,0,0
36,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-21",0,127016,0,pageable,0,862938715858579,16611,270,0,0
37,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-21#0",0,6451200,0,pageable,0,862938739190836,306326,17471,0,0
38,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-22 (reshaped)",0,645120,0,pageable,0,862938740331293,52623,710,0,0
39,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-22",0,127016,0,pageable,0,862938740403237,16721,370,0,0
40,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-22#0",0,6451200,0,pageable,0,862938844155354,316706,20661,0,0
41,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-23 (reshaped)",0,645120,0,pageable,0,862938845206396,52523,490,0,0
42,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-23",0,127016,0,pageable,0,862938845274770,13930,260,0,0
43,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-23#0",0,6451200,0,pageable,0,862939254292412,372069,20221,0,0
44,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-24 (reshaped)",0,645120,0,pageable,0,862939255469101,54092,570,0,0
