seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max,shard,absolute_offset
0,0,1,63,blk.0.ffn_up_exps.weight,21,0,704000,0,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1561038656
1,0,1,63,blk.0.ffn_up_exps.weight,21,2,704000,1408000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1562446656
2,0,1,63,blk.0.ffn_up_exps.weight,21,4,704000,2816000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1563854656
3,0,1,63,blk.0.ffn_up_exps.weight,21,7,704000,4928000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1565966656
4,0,1,63,blk.0.ffn_up_exps.weight,21,9,704000,6336000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1567374656
5,0,1,63,blk.0.ffn_up_exps.weight,21,10,704000,7040000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1568078656
6,0,1,63,blk.0.ffn_up_exps.weight,21,12,704000,8448000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1569486656
7,0,1,63,blk.0.ffn_up_exps.weight,21,15,704000,10560000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1571598656
8,0,1,63,blk.0.ffn_up_exps.weight,21,19,704000,13376000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1574414656
9,0,1,63,blk.0.ffn_up_exps.weight,21,21,704000,14784000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1575822656
10,0,1,63,blk.0.ffn_up_exps.weight,21,23,704000,16192000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1577230656
11,0,1,63,blk.0.ffn_up_exps.weight,21,24,704000,16896000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1577934656
12,0,1,63,blk.0.ffn_up_exps.weight,21,27,704000,19008000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1580046656
13,0,1,63,blk.0.ffn_up_exps.weight,21,30,704000,21120000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1582158656
14,0,1,63,blk.0.ffn_up_exps.weight,21,32,704000,22528000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1583566656
15,0,1,63,blk.0.ffn_up_exps.weight,21,34,704000,23936000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1584974656
16,0,1,63,blk.0.ffn_up_exps.weight,21,36,704000,25344000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1586382656
17,0,1,63,blk.0.ffn_up_exps.weight,21,37,704000,26048000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1587086656
18,0,1,63,blk.0.ffn_up_exps.weight,21,42,704000,29568000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1590606656
19,0,1,63,blk.0.ffn_up_exps.weight,21,43,704000,30272000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1591310656
20,0,1,63,blk.0.ffn_up_exps.weight,21,44,704000,30976000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1592014656
21,0,1,63,blk.0.ffn_up_exps.weight,21,46,704000,32384000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1593422656
22,0,1,63,blk.0.ffn_up_exps.weight,21,49,704000,34496000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1595534656
23,0,1,63,blk.0.ffn_up_exps.weight,21,52,704000,36608000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1597646656
24,0,1,63,blk.0.ffn_up_exps.weight,21,54,704000,38016000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1599054656
25,0,1,63,blk.0.ffn_up_exps.weight,21,61,704000,42944000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1603982656
26,0,1,63,blk.0.ffn_up_exps.weight,21,62,704000,43648000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1604686656
27,0,1,63,blk.0.ffn_up_exps.weight,21,63,704000,44352000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1605390656
28,0,1,63,blk.0.ffn_up_exps.weight,21,64,704000,45056000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1606094656
29,0,1,63,blk.0.ffn_up_exps.weight,21,65,704000,45760000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1606798656
30,0,1,63,blk.0.ffn_up_exps.weight,21,66,704000,46464000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1607502656
31,0,1,63,blk.0.ffn_up_exps.weight,21,68,704000,47872000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1608910656
32,0,1,63,blk.0.ffn_up_exps.weight,21,71,704000,49984000,704000,0,1,target,25,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00003-of-00033.gguf,1611022656
