seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max
0,216,1,63,"blk.12.ffn_up_exps.weight",22,9,524800,4723200,524800,0,0,target,25,0,prefill,0,62
1,216,1,63,"blk.12.ffn_up_exps.weight",22,11,524800,5772800,524800,0,0,target,25,0,prefill,0,62
2,216,1,63,"blk.12.ffn_up_exps.weight",22,18,524800,9446400,524800,0,0,target,25,0,prefill,0,62
3,216,1,63,"blk.12.ffn_up_exps.weight",22,20,524800,10496000,524800,1,0,target,25,0,prefill,0,62
4,216,1,63,"blk.12.ffn_up_exps.weight",22,21,524800,11020800,524800,0,0,target,25,0,prefill,0,62
5,216,1,63,"blk.12.ffn_up_exps.weight",22,22,524800,11545600,524800,0,0,target,25,0,prefill,0,62
6,216,1,63,"blk.12.ffn_up_exps.weight",22,23,524800,12070400,524800,0,0,target,25,0,prefill,0,62
7,216,1,63,"blk.12.ffn_up_exps.weight",22,27,524800,14169600,524800,0,0,target,25,0,prefill,0,62
8,216,1,63,"blk.12.ffn_up_exps.weight",22,28,524800,14694400,524800,1,0,target,25,0,prefill,0,62
9,216,1,63,"blk.12.ffn_up_exps.weight",22,29,524800,15219200,524800,0,0,target,25,0,prefill,0,62
10,216,1,63,"blk.12.ffn_up_exps.weight",22,32,524800,16793600,524800,0,0,target,25,0,prefill,0,62
11,216,1,63,"blk.12.ffn_up_exps.weight",22,33,524800,17318400,524800,0,0,target,25,0,prefill,0,62
12,216,1,63,"blk.12.ffn_up_exps.weight",22,35,524800,18368000,524800,0,0,target,25,0,prefill,0,62
13,216,1,63,"blk.12.ffn_up_exps.weight",22,37,524800,19417600,524800,0,0,target,25,0,prefill,0,62
14,216,1,63,"blk.12.ffn_up_exps.weight",22,38,524800,19942400,524800,0,0,target,25,0,prefill,0,62
15,216,1,63,"blk.12.ffn_up_exps.weight",22,39,524800,20467200,524800,0,0,target,25,0,prefill,0,62
16,216,1,63,"blk.12.ffn_up_exps.weight",22,46,524800,24140800,524800,0,0,target,25,0,prefill,0,62
17,216,1,63,"blk.12.ffn_up_exps.weight",22,48,524800,25190400,524800,0,0,target,25,0,prefill,0,62
18,216,1,63,"blk.12.ffn_up_exps.weight",22,50,524800,26240000,524800,0,0,target,25,0,prefill,0,62
19,216,1,63,"blk.12.ffn_up_exps.weight",22,52,524800,27289600,524800,0,0,target,25,0,prefill,0,62
20,216,1,63,"blk.12.ffn_up_exps.weight",22,60,524800,31488000,524800,0,0,target,25,0,prefill,0,62
21,216,1,63,"blk.12.ffn_up_exps.weight",22,63,524800,33062400,524800,0,0,target,25,0,prefill,0,62
22,216,1,63,"blk.12.ffn_up_exps.weight",22,65,524800,34112000,524800,0,0,target,25,0,prefill,0,62
23,216,1,63,"blk.12.ffn_up_exps.weight",22,66,524800,34636800,524800,0,0,target,25,0,prefill,0,62
24,216,1,63,"blk.12.ffn_up_exps.weight",22,75,524800,39360000,524800,0,0,target,25,0,prefill,0,62
25,216,1,63,"blk.12.ffn_up_exps.weight",22,76,524800,39884800,524800,0,0,target,25,0,prefill,0,62
26,216,1,63,"blk.12.ffn_up_exps.weight",22,78,524800,40934400,524800,0,0,target,25,0,prefill,0,62
27,216,1,63,"blk.12.ffn_up_exps.weight",22,80,524800,41984000,524800,0,0,target,25,0,prefill,0,62
28,216,1,63,"blk.12.ffn_up_exps.weight",22,84,524800,44083200,524800,0,0,target,25,0,prefill,0,62
29,216,1,63,"blk.12.ffn_up_exps.weight",22,87,524800,45657600,524800,0,0,target,25,0,prefill,0,62
30,216,1,63,"blk.12.ffn_up_exps.weight",22,90,524800,47232000,524800,0,0,target,25,0,prefill,0,62
31,216,1,63,"blk.12.ffn_up_exps.weight",22,91,524800,47756800,524800,0,0,target,25,0,prefill,0,62
32,216,1,63,"blk.12.ffn_up_exps.weight",22,93,524800,48806400,524800,0,0,target,25,0,prefill,0,62
33,216,1,63,"blk.12.ffn_up_exps.weight",22,96,524800,50380800,524800,0,0,target,25,0,prefill,0,62
34,216,1,63,"blk.12.ffn_up_exps.weight",22,98,524800,51430400,524800,0,0,target,25,0,prefill,0,62
35,216,1,63,"blk.12.ffn_up_exps.weight",22,111,524800,58252800,524800,0,0,target,25,0,prefill,0,62
36,216,1,63,"blk.12.ffn_up_exps.weight",22,120,524800,62976000,524800,0,0,target,25,0,prefill,0,62
37,216,1,63,"blk.12.ffn_up_exps.weight",22,121,524800,63500800,524800,0,0,target,25,0,prefill,0,62
38,216,1,63,"blk.12.ffn_up_exps.weight",22,127,524800,66649600,524800,0,0,target,25,0,prefill,0,62
39,216,1,63,"blk.12.ffn_up_exps.weight",22,129,524800,67699200,524800,1,0,target,25,0,prefill,0,62
40,216,1,63,"blk.12.ffn_up_exps.weight",22,130,524800,68224000,524800,0,0,target,25,0,prefill,0,62
41,216,1,63,"blk.12.ffn_up_exps.weight",22,131,524800,68748800,524800,1,0,target,25,0,prefill,0,62
42,216,1,63,"blk.12.ffn_up_exps.weight",22,132,524800,69273600,524800,0,0,target,25,0,prefill,0,62
43,216,1,63,"blk.12.ffn_up_exps.weight",22,135,524800,70848000,524800,0,0,target,25,0,prefill,0,62
44,216,1,63,"blk.12.ffn_up_exps.weight",22,136,524800,71372800,524800,0,0,target,25,0,prefill,0,62
